epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,train_sec
1,0.3501040571066575,0.1919164541282405,19.562549591064453,23.285419351914864,-0.3891676664352417,5.667401313781738
2,0.17971360981615872,0.20008986527243824,18.66193962097168,24.022242094242056,-0.4784737825393677,5.437798023223877
3,0.16675744482175006,0.23540647223609482,20.463897705078125,26.367075231242467,-0.7811908721923828,5.403579473495483
4,0.15895740027368696,0.24657736356289503,21.09499168395996,26.99242605719473,-0.8666821718215942,5.3412322998046875
5,0.14622311677590583,0.22472870965020936,19.63705062866211,25.768185610330377,-0.7011955976486206,5.28714919090271
6,0.13101573001627437,0.20503616584011952,18.875524520874023,24.3935588902487,-0.5245332717895508,5.3494110107421875
7,0.111105549450609,0.16889543514941793,16.963069915771484,21.948603154185506,-0.23424196243286133,5.455292463302612
8,0.08709588715183618,0.1427861582554108,15.422197341918945,20.191047663796912,-0.04448997974395752,5.308600425720215
9,0.06835319820106009,0.07891441307175344,10.785189628601074,14.965657402508512,0.4261767268180847,5.702749252319336
10,0.0512827794427025,0.08801033981542146,10.964138984680176,15.847705354866,0.35654330253601074,5.4869701862335205
11,0.03693820790254193,0.052533430127981576,8.202181816101074,12.134837770638986,0.6227281093597412,5.31565523147583
12,0.02832923940203324,0.033644754695899406,6.702565670013428,9.649680856754125,0.7614318132400513,5.354306221008301
13,0.022651422959608786,0.03848748301483983,7.124537944793701,10.319648253486337,0.7271547913551331,5.2975850105285645
14,0.018754710735243808,0.02148295063105625,5.193696022033691,7.709959143939785,0.847703218460083,5.405385494232178
15,0.015932728380996197,0.017611147572915042,5.080412864685059,6.98069963462947,0.8751511573791504,5.542261838912964
16,0.013814165630898247,0.01495757371337459,4.353237628936768,6.433328110028981,0.8939628601074219,5.507983684539795
17,0.013464669127967833,0.010357230238855097,3.8354990482330322,5.3533659854588285,0.9265756011009216,5.348086833953857
18,0.011903271420695638,0.012307597147488651,4.309980869293213,5.835683875847639,0.9127490520477295,5.280733108520508
19,0.01015666198277021,0.00903229874117943,3.588566541671753,4.999243297537501,0.935968279838562,5.311506986618042
20,0.009554125014496876,0.007757957888853295,3.2227981090545654,4.63317663810562,0.9450023174285889,5.159169673919678
